Main category,Type,Sub category
Gehweg/Radweg/Straße,problem,
,,Papierkorb/Abfalleimer schadhaft
,,Papierkorb/Abfalleimer überfüllt
,,Ampel schadhaft
,,bauliche Gefahrenstelle
,,Beleuchtung schadhaft
,,Baum schadhaft
,,öffentlicher Fahrstuhl
,,Beschilderung/Markierung schadhaft
,,Brücke/Tunnel/Mauer/Treppe schadhaft
,,Fahrradständer schadhaft
,,Gully schadhaft
,,Verunreinigung Gully / Straßeneinlauf
,,Hundekot
,,Poller/Planke/Absperrelement schadhaft
,,Sitzgelegenheit schadhaft
,,Wegereinigung fehlt
,,Wildwuchs
Müll/Schmutz,problem,
,,Papierkorb/Abfalleimer überfüllt
,,Altfahrzeug/Schrottfahrrad
,,Bauabfall
,,Beutel in Hundetoilette fehlen
,,Elektroschrott
,,Grünschnitt/Gartenabfälle
,,Hausmüll
,,Hundekot
,,Mülltonne/Abfallbehälter überfüllt
,,Nebenablagerungen an Recycling-Container
,,Recycling-Container überfüllt
,,Sondermüll
,,Sperrmüll
,,Wegereinigung fehlt
,,Verunreinigung Gully / Straßeneinlauf
Öffentliches Grün/Spielplatz,problem,
,,bauliche Gefahrenstelle
,,Wegereinigung fehlt
,,Papierkorb/Abfalleimer schadhaft
,,Papierkorb/Abfalleimer überfüllt
,,Kompostierplatz überfüllt
,,Müllablagerung
,,Baum schadhaft
,,Baumscheibe / -einfassung ungepflegt
,,Beleuchtung schadhaft
,,Beschilderung/Markierung schadhaft
,,Beutel in Hundetoilette fehlen
,,Brunnen schadhaft
,,Kunst im öffentlichen Raum schadhaft
,,Fahrradständer schadhaft
,,Grünanlage ungepflegt
,,Hundekot
,,Hundetoilette schadhaft
,,Poller/Planke/Absperrelement schadhaft
,,Sitzgelegenheit schadhaft
,,Spielgerät schadhaft
,,Grabstein verschmutzt
,,Grabstein schief nicht standsicher
,,ungepflegtes Grab
Parken,problem,
,,Parkautomat schadhaft
,,dauerhaftes Falschparken
Öffentliche Einrichtungen ,problem,
,,Papierkorb/Abfalleimer schadhaft
,,Papierkorb/Abfalleimer überfüllt
,,Beschilderung schadhaft
,,Beutel in Hundetoilette fehlen
,,Brunnen schadhaft
,,Kunst im öffentlichen Raum schadhaft
,,Fahrradständer schadhaft
,,Hundetoilette schadhaft
,,Parkautomat schadhaft
,,Poller/Planke/Absperrelement schadhaft
,,Sitzgelegenheit schadhaft
,,Spielgerät schadhaft
,,Verteilerkasten schadhaft
,,öffentliche Uhren
,,öffentliche Fahrstühle
Vandalismus/Schmiererei/Graffiti ,problem,
,,Papierkorb/Abfalleimer
,,Ampel
,,Baum
,,Beleuchtung
,,Beschilderung/Markierung
,,Brücke/Tunnel/Mauer/Treppe
,,Brunnen
,,Kunst im öffentlichen Raum
,,Fahrradständer
,,Gully
,,Haltestelle
,,Hundetoilette
,,Mülltonne/Abfallbehälter
,,Parkautomat
,,Poller/Planke/Absperrelement
,,Recycling-Container
,,Schutzhütte
,,Sitzgelegenheit
,,Spielgerät
,,Verteilerkasten
Verkehrseinrichtung/Beleuchtung,problem,
,,Ampel schadhaft
,,Beleuchtung schadhaft
,,Beschilderung/Markierung schadhaft
