"Main category","Type","Sub category","Group"
"Gehweg/Radweg/Straße","problem",,
,,"Papierkorb/Abfalleimer schadhaft","Gebäude- und Grundstücksmanagement"
,,"Papierkorb/Abfalleimer überfüllt","Ordnungsamt"
,,"Ampel schadhaft","Gebäude- und Grundstücksmanagement"
,,"bauliche Gefahrenstelle","Gebäude- und Grundstücksmanagement"
,,"Beleuchtung schadhaft","Gebäude- und Grundstücksmanagement"
,,"Baum schadhaft","Ordnungsamt"
,,"öffentlicher Fahrstuhl",
,,"Beschilderung/Markierung schadhaft","Ordnungsamt"
,,"Brücke/Tunnel/Mauer/Treppe schadhaft","Gebäude- und Grundstücksmanagement"
,,"Fahrradständer schadhaft","Gebäude- und Grundstücksmanagement"
,,"Gully schadhaft","Gebäude- und Grundstücksmanagement"
,,"Verunreinigung Gully / Straßeneinlauf ","Gebäude- und Grundstücksmanagement"
,,"Hundekot","Ordnungsamt"
,,"Poller/Planke/Absperrelement schadhaft","Gebäude- und Grundstücksmanagement"
,,"Sitzgelegenheit schadhaft","Ordnungsamt"
,,"Wegereinigung fehlt","Ordnungsamt"
,,"Wildwuchs","Ordnungsamt"
"Müll/Schmutz","problem",,
,,"Papierkorb/Abfalleimer überfüllt","Ordnungsamt"
,,"Altfahrzeug/Schrottfahrrad","Ordnungsamt"
,,"Bauabfall","Ordnungsamt"
,,"Beutel in Hundetoilette fehlen","Ordnungsamt"
,,"Elektroschrott","Ordnungsamt"
,,"Grünschnitt/Gartenabfälle","Ordnungsamt"
,,"Hausmüll","Ordnungsamt"
,,"Hundekot","Ordnungsamt"
,,"Mülltonne/Abfallbehälter überfüllt","Ordnungsamt"
,,"Nebenablagerungen an Recycling-Container","Ordnungsamt"
,,"Recycling-Container überfüllt","Ordnungsamt"
,,"Sondermüll","Ordnungsamt"
,,"Sperrmüll","Ordnungsamt"
,,"Wegereinigung fehlt","Ordnungsamt"
,,"Verunreinigung Gully / Straßeneinlauf ","Gebäude- und Grundstücksmanagement"
"Öffentliches Grün/Spielplatz","problem",,
,,"bauliche Gefahrenstelle","Friedhofsverwaltung"
,,"Wegereinigung fehlt","Ordnungsamt"
,,"Papierkorb/Abfalleimer schadhaft","Ordnungsamt"
,,"Papierkorb/Abfalleimer überfüllt","Ordnungsamt"
,,"Kompostierplatz überfüllt ","Friedhofsverwaltung"
,,"Müllablagerung","Friedhofsverwaltung"
,,"Baum schadhaft","Ordnungsamt"
,,"Baumscheibe / -einfassung ungepflegt ","Ordnungsamt"
,,"Beleuchtung schadhaft","Gebäude- und Grundstücksmanagement"
,,"Beschilderung/Markierung schadhaft","Ordnungsamt"
,,"Beutel in Hundetoilette fehlen","Ordnungsamt"
,,"Brunnen schadhaft","Gebäude- und Grundstücksmanagement"
,,"Kunst im öffentlichen Raum schadhaft","Ordnungsamt"
,,"Fahrradständer schadhaft","Gebäude- und Grundstücksmanagement"
,,"Grünanlage ungepflegt","Ordnungsamt"
,,"Hundekot","Ordnungsamt"
,,"Hundetoilette schadhaft","Ordnungsamt"
,,"Poller/Planke/Absperrelement schadhaft","Gebäude- und Grundstücksmanagement"
,,"Sitzgelegenheit schadhaft","Ordnungsamt"
,,"Spielgerät schadhaft","Ordnungsamt"
,,"Grabstein verschmutzt","Friedhofsverwaltung"
,,"Grabstein schief nicht standsicher","Friedhofsverwaltung"
,,"ungepflegtes Grab","Friedhofsverwaltung"
"Parken","problem",,
,,"Parkautomat schadhaft","Gebäude- und Grundstücksmanagement"
,,"dauerhaftes Falschparken","Ordnungsamt"
"Öffentliche Einrichtungen ","problem",,
